,id,skills,edu_1,edu_2,edu_3,org_1,org_2,org_3,org_4,organization_title_1,label
73,shantha-supunsara-4b97941ab,Adobe Photoshop Network Security Web Design HTML Scripting Computer Networking                                               ,"BCS HEQ, Computer and Information Systems Security/Information Assurance BCS Sri Lanka Region","Bachelor's degree, Computer Science University of Colombo School of Computing","Master of science Artificail Inteligence, Machine learning MITx on edX",Data Engineer HashiCorp,"Cyber Security Consultant Freelance, self-employed",Artificial Intelligence Researcher Amazon Web Services (AWS),Cyber Security Specialist Duo Security,Data Engineer,1
74,promod-aravinda-a51850175,Java JavaScript Python Programming Language PHP Cascading Style Sheets CSS Bootstrap SQL HTML MongoDB Firebase Github NetBeans Android Development Eclipse JSON Core Java Spring Framework Spring Boot Hibernate JPA Maven Flask Servlets JavaServer Pages JSP Tomcat Postman API Java Database Connectivity JDBC spyder strut reflection api angular                     ,Information Technology SLIIT, Thurstan college, University of Colombo,Associate Data Engineer Altria Consulting (Pvt) Ltd,Trainee Data Engineer Altria Consulting (Pvt) Ltd,Associate IT Forensic Investigator EY, ,Associate Data Engineer,1
75,rushanthi-baskaran-2963a8180,Java JavaScript Python Programming Language MySQL HTML Cascading Style Sheets CSS AngularJS Nodejs SQL Machine Learning Software Development Microsoft Azure Public Speaking Deep Learning Team Leadership Computer Vision Team Management Communication JavaFX Database Management System DBMS Teacher Training Music Debate React Native Unity D Angular Material Accountability Written Communication javaswing                       ,"Bachelor of Engineering(Hons) - BEng(Hons), Software Engineering University of Westminster","GCE O/L & A/L, Mathematics Hindu Ladies College, Colombo", Daybridge International School,Data Engineer grubtech,Online Mathematic Tutor Third Space Global (Pvt) Ltd,Junior Machine Learning Engineer Omdena,Associate Data Scientist Deep Data Insight,Data Engineer,1
76,amila-akalanka-ariyasena,Java Python Programming Language PHP MySQL Cascading Style Sheets CSS SQL HTML Microsoft Word Data Engineering Data Analysis Microsoft Azure Microsoft Office Adobe Photoshop Teamwork Leadership Microsoft Excel Microsoft PowerPoint Adobe Illustrator Tableau Statistical Data Analysis Analytical Skills Management Microsoft Power BI Microsoft SQL Server R Programming Language Business Intelligence BI Data Modeling PostgreSQL SQL Server Integration Services SSIS SQL Server Analysis Services SSAS AutoCAD Geographic Information Systems GIS                    ,"Bachelor of Science - B.Sc(General), Statistics and Computer Science University of Sri Jayewardenepura", Rahula College,"Master's degree, Business Analytics Robert Gordon University",Associate Data Engineer ISM APAC,Associate Data Engineer Sana Commerce,Senior Executive - Analytics and Reporting - Channel Planning and Control Dialog Axiata PLC,Intern - Segment Analyst - Segment Analytics and Engagement  Dialog Axiata PLC,Associate Data Engineer,1
77,pavithra-kariyawasam,Java Python Programming Language MySQL Data Engineering Big Data Analytics Data Analysis Databases java Data Mining Natural Language Processing NLP Data Science Data Analytics Hadoop R Tableau Statistical Data Analysis Minitab Research Microsoft Power BI Microsoft SQL Server Big Data Cloud Computing Amazon Web Services AWS ETL Tools Data Warehousing Web Applications NoSQL SQL Server Reporting Services SSRS Microsoft Azure Machine Learning JavaServer Pages JSP RDBMS SQL Server Integration Services SSIS Solr ETL IBM SPSS Statistics SSAS Apache solr dbt              ,"Bachelor of Science, Mathematics and Statistics University of Kelaniya Sri Lanka","BSc(Hons) in Information Technology Specializing in Data Science, Data Science SLIIT", ,Associate Data Engineer DATAMTX LLC, , , ,Associate Data Engineer,1
78,dulanga-heshan-52b801119,Java C JavaScript Cascading Style Sheets CSS SQL HTML Machine Learning Angular Python Microsoft Power BI Android Studio React Native React Agile Angular netcore                                    ,"Bachelor of Science - BSc(IT) Hons, Information Technology University of Moratuwa", , ,Associate Data Engineer Axiata Digital Labs,Developer Aladin Labs,Software Engineer (Machine Learning) Virtusa,Trainee Bank Assistant People's Bank Sri Lanka,Associate Data Engineer,1
79,shiny-hettiarachchi-941501164,Java Cascading Style Sheets CSS XML AngularJS SQL HTML Problem Solving Microsoft Office Leadership Reactjs Microsoft Excel Customer Service Firebase Python Amazon Web Services AWS Communication Information Technology Corporate Strategy                                  ,"Information Technology, Computer Software Engineering General Sir John Kotelawala Defence University","Certificate, English Language and Literature, General National Institute of Business Management", St.Mary's Convent,Intern Data Engineer Axiata Digital Labs, , , ,Intern Data Engineer,1
80,lakmi-madushika,Python Programming Language SQL Big Data Analytics Microsoft Office Teamwork Leadership Statistics Data Visualization Data Analytics R Tableau Statistical Data Analysis Statistical Modeling SPSS Microsoft Power BI Mathematics Mathematical Modeling Operations Research Business Intelligence BI SQL Server Reporting Services SSRS SQL Server Integration Services SSIS Data Integration Oracle Data Integrator ODI                             ,M.Sc. in Big Data Analytics Robert Gordon University,B.Sc. (Special) in Mathematics with Statistics Wayamba University of Sri Lanka,"Diploma in Information Technology (DiTEC), Information Technology ESOFT Metro Campus",Data Engineer Altria Consulting (Pvt) Ltd,Associate Business Intelligence Specialist SYNAPSYS LTD,Data Analyst Nielsen, ,Data Engineer,1
81,pasan-jayendra-perera,Java C MySQL XML SQL Linux HTML Microsoft Word Data Engineering Machine Learning Data Analysis C Project Management Microsoft Excel Microsoft PowerPoint Data Mining Data Science Microsoft SQL Server Analytics Business Intelligence BI Big Data Shell Scripting Data Warehousing C Embedded Systems Perl Operating Systems Statistical Modelling Dataware house and business Intelligence                       ,"BSc (Hons) Degree in Information Technology Specializing in Data Science, Data Science SLIIT", , ,Big Data Engineer N-Able Private Limited,Junior Data Engineer N-Able Private Limited,Data Engineer at N-Able Private Limited N-Able Private Limited, ,Big Data Engineer,1
82,poornas,Java JavaScript Python Programming Language PHP MySQL XML Nodejs SQL Web Development HTML Data Engineering Software Development Microsoft Azure Databases CSS Hadoop Microsoft Power BI Microsoft SQL Server Apache Spark Big Data Extract Transform Load ETL Data Warehousing Requirements Analysis QlikView Web Design Azure Data Lake Oracle Database SQL Server Integration Services SSIS Data Pipelines PLSQL Azure Databricks Data Migration Azure DevOps IBM DB Crystal Reports DB IBM iSeries RPG Free RPG IV IBM AS Hawkeye TURNOVER for iSeries RPG III CL SQL RPG DPI Billing System SQL DB  ,"Master of Information Technology , Information Technology University of Colombo School of Computing","Professional Graduate Diploma Level (QCF Level 6), Information Technology BCS, The Chartered Institute for IT", ,Data Engineer OCTAVE - John Keells Group,Senior Software Engineer (Assistant Manager) Union Assurance PLC,Software Engineer Union Assurance PLC,AS/400 RPG Programmer SysComm Solutions(PVT)Ltd,Data Engineer,1
83,rukshan-akalanka-kumarage-213317173,Java Python Programming Language MySQL HTML Machine Learning Data Analysis Microsoft Azure Teamwork Leadership Data Visualization Time Series Analysis Mathematica Microsoft Power BI Business Intelligence BI Regression Analysis Amazon Web Services AWS Data Warehousing SQL Server Reporting Services SSRS Microsoft Azure Machine Learning Oracle Database SQL Server Integration Services SSIS SQL Server Analysis Services SSAS Bitbucket SQL Server Data Tool Microsoft Excel power pivot                           ,Bachelor of Science in Physical Sciences University of Sri Jayewardenepura,"BSc (Hons) Information Technology, Specializing in Data Science ( 2nd Class Upper Division ) SLIIT","advanced level, Mathematics Stream 2015 Isipathana College - Colombo 05",Associate Software Engineer - Data Engineering Wiley,Associate Data Engineer Altria Consulting (Pvt) Ltd,Application Engineer Internship Pearson Lanka, ,Associate Software Engineer - Data Engineering,1
84,chaminda-wijesiri-36b21b125,Java Python Programming Language PHP MySQL AngularJS SQL Linux Big Data Analytics Leadership Hadoop Google Cloud Platform GCP Apache Spark Docker Products Big Data Cloud Computing Database Administration MapReduce Amazon Web Services AWS Relational Databases Serverless Computing Apache Kafka Cloud Administration Hadoop Administration Database Development Cloud Development HiveQL C NET Framework Spring Boot RESTful WebServices Kubernetes Amazon EC Servlets PostgreSQL Database Design Cloudera Impala Network Architecture Apache Sqoop Identity Access Management IAM Apache Oozie Apache NiFi apache Hive Java Web Services Data Lakes CloudNative Architecture Cloud Storage Identity Governance AWS Auto Scaling Virtual Network Computing VNC Software Deployment  ,"B.sc in Information Technology, Computer/Information Technology Administration and Management University of Moratuwa", Kegalu Vidyalaya, ,Senior Data Engineer Sysco LABS Sri Lanka,Senior Data Engineer Axiata Digital Labs,Data Engineer Axiata Digital Labs,Data Engineer Dialog Axiata PLC,Senior Data Engineer,1
85,chamathpeiris,Java Python Programming Language MySQL HTML Machine Learning Data Analysis Software Development Microsoft Azure Teamwork Leadership ObjectOriented Programming OOP MongoDB Angular BackEnd Web Development Data Science PySpark Apache Big Data Database Development Android Development C Android Pandas Software NumPy ASPNET MVC ASPNET Spring Framework Spring Boot Microsoft Azure Machine Learning Frontend Development Azure Databricks Challenging Environment                    ,"Software Engineering, Computer Software Engineering University of Westminster",Ordiary Level / Advanced Level Asoka College, ,Associate Data Engineer Creative Software,Software Engineer Creative Software, , ,Associate Data Engineer,1
86,adeesha,Java MySQL XML SQL Data Engineering Databases Programming Hadoop Hive Microsoft SQL Server Apache Spark Big Data Extract Transform Load ETL Database Administration Cloudera ETL Tools Data Warehousing HiveQL C Visual Studio Web Services Business Intelligence SSRS SQL Server Reporting Services SSRS AJAX JSON ASPNET SQL Server Integration Services SSIS Oracle ETL SQL Tools Oracle Cloud Apache Impala LINQ SSAS informatica SSIS SAP BI cloudera PowerCenter SQL Tuning Data Warehouse Architecture Analysis Services talend      ,"Master of Computer Science, Computer Science University of Colombo","Bachelors of Computer Science, Computer Science University of Colombo", ,Senior Engineer - Data Engineering & Analytics MillenniumIT,Data Warehouse Engineer Etisalat Lanka (Private) Limited,Database Administrator Etisalat Lanka (Private) Limited,Software Engineer University of Colombo School of Computing,Senior Engineer - Data Engineering & Analytics,1
87,accash-raveendran-918656164,Java JavaScript Python Programming Language SQL Data Engineering Big Data Analytics Machine Learning Data Analysis Microsoft Azure Leadership Project Management Data Mining Data Science Data Analytics Hadoop Artificial Intelligence AI Analytical Skills Management Business Intelligence BI Big Data Cloud Computing Amazon Web Services AWS Creative Problem Solving Flask Jira Snowflake Continuous Improvement docker                        ,BSc (Hons) in Information Technology Specialising in Data Science SLIIT, , ,Data Engineer Wiley Global Technology (Private) Limited, , , ,Data Engineer,1
88,hasaka-lelwala-5166001b3,Python Programming Language SQL Data Engineering Big Data Analytics Machine Learning Microsoft Azure Data Visualization Data Science Hadoop Microsoft Power BI Analytics Apache Spark Business Intelligence BI Docker Products Big Data Cloud Computing Apache Kafka Cloud Development Data Warehousing Containerization SQL Server Reporting Services SSRS RESTful architecture Web Application Development Flask Azure Data Factory Oracle Database SQL Server Integration Services SSIS Google Data Studio SQL Server Analysis Services SSAS Cloud Storage Digital Marketing Analytics Storage Architecture                    ,Master of Business Statistics University of Moratuwa,"Bachelor of Science - BS, Statistics , Mathematics & Computer Science University of Sri Jayewardenepura", St. Aloysius'​ College,Senior Data Engineer Axiata Digital Labs,Data Engineer N-Able Private Limited,"Data Specialist GE Transportation, a Wabtec company", ,Senior Data Engineer,1
89,thamalu-maliththa-piyadigama-418109152,Java JavaScript Python Programming Language HTML Cascading Style Sheets CSS AngularJS Data Engineering Machine Learning Data Analysis C ObjectOriented Programming OOP Reactjs Data Visualization Time Series Analysis Image Processing Matlab OpenCV Computer Vision Mathematica SolidWorks Altium Designer OrCAD Django LaTeX jQuery Telecommunications PostgreSQL Electronic Engineering Atmel Mathematical Logic Signal Processing Machine Vision Grammar Atmel AVR Journalism Linguistics Abstract Algebra Philosophy Philosophy Of Science Philosophy of Religion Epistemology Philosophy of Mind Philosophy of Language Theoretical Physics Science Journalism Nationalism Full Stack Web Development constructive relativism Philosphy Echarts  ,"BSc (engineering) UG., Electronic and Telecommunication Engineering University of Moratuwa","Advanced Level, Physical Sciences Royal College Colombo 07", ,Data Engineer hSenid Mobile Solutions (Pvt) Ltd,"Secretary Sinhala Cultural Society , University of Moratuwa",Industrial Trainee - Data Engineering hSenid Mobile Solutions (Pvt) Ltd,Freelance Writer Daily Mirror,Data Engineer,1
90,hiruni-kasthuriarachchi-9b592215b,Machine Learning Leadership                                                  ,BSc (Hons) in Information Technology Specializing in Data Science SLIIT, , ,Trainee Data Engineer Axiata Digital Labs,Intern - Data Scientist Seylan Bank PLC, , ,Trainee Data Engineer,1
91,jemimaj,C Python Programming Language SQL Machine Learning Data Analysis Microsoft Azure MongoDB Deep Learning Python R Microsoft SQL Server TensorFlow Big Data NoSQL Microsoft Azure Machine Learning Docker Data Pipelines Pandas Azure Databricks Data Preparation TransactSQL TSQL Azure Cosmos DB Pipelines informatica NetworkX Pipeline Development                          ,"Bachelor’s Degree, Information Technology University of Moratuwa","Mathematics Chundikuli Girls’ College, Jaffna", ,Data Engineer BlackSwan Technologies,Data Engineer Trabeya,Associate Engineer (Data Warehouse and Business Intelligence) Virtusa,Trainee Software Engineer Techorin Solutions (Pvt) Ltd,Data Engineer,1
92,chathurma-wijesinghe-044b7a1b9,Python Programming Language Software Development Data Structures Data Science                                                ,"GCE Advanced Level - Biology Stream,  GCE Ordinary Level Holy Cross College, Gampaha","All island winner (Recitation, Prepared Story Telling, Verse Speaking, Drama) , English Language and Literature (British and Commonwealth) British Lanka festival for the Performing Arts","Qualified in Speaking Skills , Writing Skills, Speech and Drama, English Language and Literature (British and Commonwealth) Institute of Music, Speech and Speaking Skills (IMSSS)",Intern Data Engineer Bluechip Technologies Asia,Intern Software Engineer K Weera IT & Engineering Services, , ,Intern Data Engineer,1
93,ashaniroshan,Java C JavaScript MySQL HTML Cascading Style Sheets CSS SQL Git Linux HTML Data Engineering Scala C ElasticSearch Hadoop Sqoop Apache Spark Ubuntu Big Data MapReduce Apache Kafka jQuery Java Enterprise Edition spark Version Control AJAX JSON Core Java Spring Framework Hibernate Maven RESTful WebServices Docker Microservices Cloudera Impala Cassandra JBoss Application Server Tomcat Spring Security Logstash Kibana Play Framework Redis Akka JEE JasperReports Tortoise SVN RabbitMQ    ,"Bachelor’s Degree, Computer Science University College Dublin","High School S.Thomas' College, Mount Lavinia"," S. Thomas' College, Gurutalawa",Senior Data Engineer Sysco LABS Sri Lanka,Big data Engineer N-Able Private Limited,Big Data Engineer  Cloud Solutions International,Software Engineer Auxenta,Senior Data Engineer,1
94,janakasandunrathnayake,Java Python Programming Language MySQL SQL Data Engineering Software Development Programming Data Visualization Data Science Microsoft Power BI Microsoft SQL Server Big Data Extract Transform Load ETL Data Modeling Amazon Web Services AWS Data Warehousing Requirements Analysis Database Design Data Pipelines Oracle PLSQL GitHub ETL Elasticsearch Informatica Data Migration Data Architecture Apache Airflow Snowflake Cloud IBM Db Data Integration Enterprise Resource Planning ERP Data Warehouse Architecture Performance Tuning Oracle Forms Oracle Reports datazen Secure File Transfer Protocol SFTP ftp Continuous Integration and Continuous Delivery CICD data lake         ,"Bachelor’s Degree, Management Information Systems University College Dublin", Bandarawela Central College, ,Senior Data Engineer Wiley,Data Engineer Wiley,Consultant - Technology Virtusa,Senior Engineer / Associate Consultant - Technology Virtusa,Senior Data Engineer,1
95,ayomal-praveen-fernandopulle-5a774517a,Java JavaScript PHP Cascading Style Sheets CSS SQL C Programming Language                                              ,"Information system , Information Systems, General University of Colombo School of Computing",Diploma in English Language & Literature Aquinas College of Higher Studies, Loyola College Negombo,Data Engineer VizuaMatix, , , ,Data Engineer,1
96,chiran-hewawitharana,Java JavaScript Python Programming Language AngularJS Nodejs SQL Web Development Linux HTML Machine Learning Data Analysis Scala Microsoft Azure Databases Teamwork Reactjs Deep Learning BackEnd Web Development Team Leadership Data Visualization Data Science R Google Cloud Platform GCP Apache Spark TensorFlow Apache Cloud Computing Amazon Web Services AWS Cloud Administration Android Development Spring Boot Frontend Development Microservices Bash REST APIs Microsoft Power Apps Software Design Patterns Event Management Elasticsearch IBM Watson Grafana Elastic Stack ELK Spark ML Application Frameworks        ,"Bachelor of Science honours in Management and Information Technology, Specializing in Information Technology University of Kelaniya Sri Lanka","Reading for Statistics and Data Science Micro-Masters, Data Science Massachusetts Institute of Technology",Physical Science Rahula College,Associate Data Engineer Arimac,Microsoft Learn Student Ambassador Microsoft,Trainee Associate Software Engineer in Data Science Engineering Zone24x7,Co-Founder AccSeedd,Associate Data Engineer,1
97,rishaninusha,MySQL SQL Linux Data Engineering Data Analysis Databases Teamwork Python R Analytical Skills Management Team Management Microsoft Power BI Microsoft SQL Server Business Analysis Business Intelligence BI Big Data Extract Transform Load ETL Data Warehousing Visual Studio CouchDB Business Intelligence SQL Server Reporting Services SSRS SQL Server Management Studio SQL Server Integration Services SSIS SQL Server Analysis Services SSAS Business Analytics TransactSQL TSQL Personal Development Data Lakes Slack Microsoft Teams High Performer                 ,"BSC (Hons) Software Engineering, Information Technology London Metropolitan University", , ,Senior Engineer - Data Engineering Sysco LABS Sri Lanka,Senior Data Engineer Sysco LABS Sri Lanka,Associate Escalations Lead Sysco LABS Sri Lanka,Application Support Engineer Leapset,Senior Engineer - Data Engineering,1
98,ishananuranga,Java C JavaScript Python Programming Language PHP Cascading Style Sheets CSS Bootstrap Nodejs HTML Microsoft Word Machine Learning Data Analysis Microsoft Office Teamwork ObjectOriented Programming OOP Microsoft Excel Microsoft PowerPoint Deep Learning Team Leadership Natural Language Processing NLP Data Visualization OpenCV Computer Vision Artificial Intelligence AI Research Management Exploratory Data Analysis TensorFlow Apache Storytelling C Networking Android ScikitLearn ASPNET MVC NLTK Microsoft Azure Machine Learning Visual Basic NET VBNET Oracle Database Chatbot Development Entity Framework Angular Amazon Alexa         ,"Master of Science, Specialisation in Data Science Analytics and Engineering University of Moratuwa","Bachelor’s Degree, Speceial Degree in Computer Science University of Kelaniya Sri Lanka",Mathematics Mahinda College - Galle,Senior Data Engineer Axiata Digital Labs,Consultatnt - AI/ML Virtusa,Associate Consultant (Machine Learning) Virtusa,Engineer Specialist (Machine Learning) Virtusa,Senior Data Engineer,1
99,poorni-wickramarathne-b11b17159,Java MySQL SQL Machine Learning Data Analysis Microsoft Azure Teamwork Leadership Microsoft Excel Microsoft PowerPoint Python Team Leadership Data Visualization Data Science Hadoop Tableau Microsoft Power BI Microsoft SQL Server Machine Learning Algorithms DevOps Cloud Computing Extract Transform Load ETL Amazon Web Services AWS Relational Databases Apache Kafka Database Development ETL Tools Data Warehousing Communication NoSQL SQL Server Reporting Services SSRS Azure Data Factory Azure Data Lake Oracle Database RDBMS Weka Database Design Accountability Regression Models SQL Server Integration Services SSIS tableau Big data Excel Pivot Informatica PowerCenter Data Warehouse Architecture Talend Open Studio    ,"BSc special honors in Information Technology , Data science SLIIT",Diploma in Psychology Java Institute for Advanced Technology,Bio Sciences Anula Vidyalaya,BI Data Engineer Dialog Axiata PLC,Engineer - Technology Virtusa,Intern - System development and Data Analytics Sri Lanka Telecom, ,BI Data Engineer,1
100,sandeepa-jayasanka,JavaScript Python Programming Language MySQL Cascading Style Sheets CSS AngularJS SQL HTML Machine Learning Data Analysis Software Development Teamwork ObjectOriented Programming OOP Statistics Data Visualization Critical Thinking Management Microsoft Power BI Microsoft SQL Server Mathematics Agile Methodologies Communication C FullStack Development ASPNET Web Application Development NET ModelViewController MVC                         ,"Bachelor of Science - BS, Computer Science and Software Engineering University of Bedfordshire","BCS Level 5 Diploma in IT, Information Technology BCS, The Chartered Institute for IT",Mathematics Thurstan College-Colombo 07,Data Engineer BlackSwan Technologies,Software Engineer LAH BPO,Data Analyst CONTEXTworld, ,Data Engineer,1
101,senthuran-devapalan-70373759,Java JavaScript Python Programming Language PHP MySQL XML SQL Web Development HTML Data Engineering Data Analysis Programming CSS Microsoft SQL Server PySpark Big Data Extract Transform Load ETL Data Warehousing jQuery Web Services Business Intelligence Oracle NET ETL Testing Lecturing MicroStrategy SEO CakePHP Talend OLAP Unix Shell Scripting CMS OLTP IBM InfoSphere DataStage IBM InfoSphere Information Analyzer IBM Cognos Report Studio Mode Analytics            ,"Diploma in JAVA, .Net, PHP, Information Technology Micom College","DICS, Information Technology IDM","GCE Advance Level, Commerce B/Hindu College",Data Engineer - BI Octopus BI,Data Engineer - Data Science PickMe (Digital Mobility Solutions Lanka (PVT) Ltd),Data Consultant Kurtosys Systems,Consultant - Data R2D2 Data Consultants Pvt Ltd,Data Engineer - BI,1
102,charith-amarasinghe,Python Programming Language MySQL SQL Machine Learning Data Analysis English Leadership MongoDB Python Data Mining R Management Amazon Web Services AWS Data Cleaning AWS SageMaker Data Extraction                                    ,"Bachelor of Science, Statistics with Computer Science Special University of Colombo",Physical Sciences Prince of Wales' College,Diploma in Management Accounting The Chartered Institute of Management Accountants,Software Engineer - Data Engineering Wiley,Data Engineer BlackSwan Technologies,Software Engineer (Data Engineering)  hSenid Mobile Solutions (Pvt) Ltd,Data Analyst ReapDigital,Software Engineer - Data Engineering,1
103,dhanushka-gayashan,Java JavaScript XML SQL Linux Scala Teamwork Team Leadership Management Apache Spark DevOps Big Data Distributed Systems Amazon Web Services AWS Serverless Computing Apache Kafka Software Engineering OOP jQuery Android Web Services Web Applications Java Enterprise Edition AJAX JSON Hibernate JPA Docker Design Patterns UML JBoss Application Server Tomcat Play Framework Elastic Stack ELK Business Managment Microservice                ,"Bachelor of Business Administration (BBA), Human Resources Management University of Colombo", ST. Aloysius College - Galle, ,Senior Data Engineer Air New Zealand,Principal Consultant Tenzing Limited,Senior Technology Consultant Tenzing Limited,Software Engineer - Java/Scala (Big Data) VizuaMatix,Senior Data Engineer,1
104,sandun-dayananda-1b8a51134,Python Programming Language MySQL XML SQL Leadership Public Speaking Customer Service Data Visualization Data Science Data Analytics Hadoop Hive Tableau Analytical Skills Management Microsoft Power BI Microsoft SQL Server SAS Programming Extract Transform Load ETL Database Administration Shell Scripting Amazon Web Services AWS Relational Databases Database Development Data Warehousing SAS JSON Google Analytics SQL Server Integration Services SSIS Jira ETL Informatica Data Manipulation Data analysis Database Queries IBM DB TransactSQL TSQL Linux System Administration Data Integration Talend Open Studio Data Extraction MS SQL developer SAS Visual Analytics Pentaho Database Testing Data Transformation Data Loading Data Center Virtualization Reporting SAS Data Integration Studio : null,"BSc (Hons) Computing, Data Science Wrexham Glyndŵr University","Electrical and Electronic Engineering, Computer Systems and Network Engineering Sri Lanka Institute of Advanced Technological Education (SLIATE)","Advanced Linux Administration, Advanced Linux Administration SLIIT",Data Engineer Axiata Digital Labs,Associate Data Engineer Just In Time Group (Sri Lanka),Database Support Engineer (SQL) AFFIXCON,Junior IOT Engineer Spera Labs,Data Engineer,1
105,rahul-madhuka-74aa9b182,                                                   ,"BSc(Hons) Management and Information Technology, Computer/Information Technology Administration and Management University of Kelaniya Sri Lanka", Ananda College, ,Data Engineer MAS Holdings,Team Member AIESEC,Project Manager Exposition, ,Data Engineer,1
106,thilini-samarakoon-67160215a,Java Python Programming Language SQL Microsoft Word Data Engineering Machine Learning Programming Microsoft Office Teamwork Leadership Microsoft Excel Data Science Extract Transform Load ETL Data Pipelines Data Migration Talend Open Studio                                  ,"Bachelor of Science - BSc (Electronics and IT major), Electronics & IT University of Colombo",Bachelor of IT University of Colombo School of Computing, ,Data Engineer Virtusa,Associate Data Engineer Virtusa,Intern OREL Corporation, ,Data Engineer,1
107,dhananjaya-perera,Data Engineering Hadoop Tableau Big Data Data Warehousing RESTful WebServices Software Design Patterns informatica                                            ,Software Engineering National Institute Of Business Management (NIBM),Physical Sciences Maliyadeva College, Sumangala College,Data Engineer Dialog Axiata PLC,Software Engineer intern Axienta (Pvt) Ltd,Resource Person SLBC,Technician Spectra Industries,Data Engineer,1
108,chameera-de-silva,JavaScript Python Programming Language PHP HTML Machine Learning Microsoft Azure Microsoft Office Leadership ObjectOriented Programming OOP Data Mining Team Leadership Data Visualization Data Analytics Predictive Modeling R Team Management Google Cloud Platform GCP Django Networking Flask R Shiny Talend                              ,"Bachelor of Science - BS, Business Information Systems University of Westminster","GCE Advanced Level, Accounting, Economics, Business Studies Thurstan College", ,Data Engineer iLabs,Data Analyst Intrepid Group Colombo,Application Support Intern Amana Bank, ,Data Engineer,1
109,anoma-dharmapriya,Java Python Programming Language MySQL Machine Learning Data Analysis Problem Solving Programming Microsoft Office Teamwork Leadership Computer Science Microsoft Excel Python Algorithms Data Visualization Predictive Modeling Decision Trees Statistical Modeling Critical Thinking Business Analysis IBM SPSS RStudio Business Strategy Big Data Data Modeling Agile Methodologies Network Security Agile Application Development Communication Statistical Tools Statistical Process Control SPC Discrete Mathematics Software Design JUnit Software Quality Assurance DecisionMaking Cybersecurity Requirements Analysis Requirements Gathering Product Lifecycle Management Product Management Matplotlib Pandas Software Usability Usability Testing Operations Management      ,"BSc.(Hons), Applied Statistcs University of Colombo",combined mathematics Dharmasoka College Ambalangoda, st.Theresa Primary school,Data Engineer Axiata Digital Labs,Software Engineer Creative Software,Member Stat Circle,Member Colombo Beacon,Data Engineer,1
110,d-hansika-pathirana-8ab0aa123,Java C JavaScript Python Programming Language PHP MySQL Cascading Style Sheets CSS XML SQL Web Development Linux HTML Microsoft Word Machine Learning Data Analysis Software Development Scala Microsoft Azure Databases Teamwork Leadership C Microsoft Excel Deep Learning Statistics Data Visualization Hadoop Hive R Tableau Microsoft SQL Server Cloud Computing Amazon Web Services AWS C jQuery Windows Eclipse Spark Data Cleaning SQL Server Reporting Services SSRS Amazon EC SQL Server Management Studio SQL Server Integration Services SSIS SQL Server Analysis Services SSAS PLSQL Internet of Things IoT TransactSQL TSQL Data Integration    ,"Bsc (Hons) in Information Technology specialized in Data Science, Data Science SLIIT",Physical Science Stream Sujatha Vidyalaya, ,Data Engineer Sysco LABS Sri Lanka,Member of Computer Society of Sri Lanka (CSSL) Computer Society of Sri Lanka,Member of International Association of Engineers (IAENG) IAENG,Trainee Associate Software Engineer - Data Science Zone24x7,Data Engineer,1
111,sehandesilva,Java Python Programming Language PHP SQL English Responsive Web Design Leadership Data Mining Microsoft Power BI                                           ,"Bachelor of Science - BSc, Specialized in Data Science SLIIT","Bachelor of Science - BSc, Physical Sciences University of Colombo",Physical Sciences Richmond College,"Junior Data Engineer Beacon Data, Inc.", , , ,Junior Data Engineer,1
112,theshiya-reshini-imbulana-64312a173,Cascading Style Sheets CSS SQL Data Analysis Microsoft Office Teamwork Leadership Data Visualization Hadoop Tableau Management Business Intelligence BI Big Data Extract Transform Load ETL Data Modeling Communication AWS SageMaker Google Data Studio Financial Accounting Informatica Amazon Athena Self Learning Amazon QuickSight Technical Documentation Financial Audits Motivated                         ,"Bachelor of Science in Information Systems, Information System University of Colombo School of Computing","BBA (Hons) Specializing in Business Analytics, Business Management SLIIT", Institute of Chartered Accountants of Sri Lanka,Data Engineer Dialog Axiata PLC,Business Intelligence Analyst Dialog Axiata PLC,Business Intelligence Dialog Axiata PLC,Audit Trainee Joseph and Company,Data Engineer,1
113,eranda-jayarathne-7490ab28,Java PHP MySQL SQL Linux Python Hadoop Flume Hive HBase Yarn Sqoop Apache Spark PySpark Big Data Amazon Web Services AWS Cloudera Data Warehousing Android NoSQL Amazon S Cloudera Impala CodeIgniter Talend MVC                           ,"BSc sp. (Hons), Computer Software Engineering Sri Lanka Institute of Information Technology", St. Peter's College, ,Senior Big Data Engineer N-Able Private Limited,Engineer - Business Analytics N-Able Private Limited,Associate Software Engineer Wijeya Digital Media - Wijeya Newspapers Ltd.,Web Developer Wijeya Digital Media - Wijeya Newspapers Ltd.,Senior Big Data Engineer,1
114,dinesh-chandra-kumara-a7420315,MySQL XML SQL Linux Microsoft Azure Databases Programming Microsoft SQL Server Extract Transform Load ETL Data Warehousing OOP Windows SSRS Azure Data Factory Azure Data Lake SQL Azure Database Design SQL Server Integration Services SSIS Oracle PLSQL ETL SSIS Unix Shell Scripting Talend Open Studio SSAS Cognos Business Objects Datastage Netezza                     ,"Bachelor of Science (B.Sc.), Information Technology Sri lanka institute of information technology", , ,Senior Data Engineer POTENZA,Data Engineer BGC POTENZA,Consultant DW/BI Specialist  Virtusa,Associate Consultant DW/BI Specialist Virtusa,Senior Data Engineer,1
